group_type,dataset,subset,measure,n,mean,median,q10,q90,source_model,fixed_error_type,motion_group,effective_k_group,duration_group
dataset_subset,videofeedback,real,raw_d2_score,500,0.2708899992586424,0.19500000278155008,0.014999999664723799,0.699999988079071,,,,,
dataset_subset,videofeedback,real,residual_d2_score,500,0.3209900001386801,0.2516666650772095,0.02500000037252903,0.7368333280086518,,,,,
dataset_subset,videofeedback,real,R0,500,0.408472338028169,0.3772323943661972,0.11997183098591549,0.7157746478873239,,,,,
dataset_subset,videofeedback,real,R1,500,0.42428338028169016,0.4014084507042254,0.14,0.7269014084507042,,,,,
dataset_subset,videofeedback,real,R1_minus_R0,500,0.01581104225352113,0.008225352112676054,-0.004163380281690134,0.049999999999999996,,,,,
generator,comgenvid,annotated,rho_mean,1700,0.06629110395871833,0.05638338935871919,0.036114556218187016,0.10588934173186634,Sora,,,,
generator,comgenvid,annotated,rho_median,1700,0.05851246669651101,0.04844944303234418,0.030364970800777276,0.09633145829041803,Sora,,,,
generator,comgenvid,annotated,mean_motion_magnitude,1700,4.359802451496031,4.192485570907593,2.1069363713264466,6.872351646423341,Sora,,,,
generator,comgenvid,annotated,mean_common_magnitude,1700,1.2080151254216245,1.0945369899272919,0.5469070921341578,1.9960089723269145,Sora,,,,
generator,comgenvid,annotated,raw_d2_score,1700,0.003189215666121404,0.0,0.0,0.0049999998882412,Sora,,,,
generator,comgenvid,annotated,residual_d2_score,1700,0.013775490242622647,0.0,0.0,0.035166667060305905,Sora,,,,
generator,comgenvid,annotated,R0,1700,0.08391,0.047,0.002,0.232,Sora,,,,
generator,comgenvid,annotated,R1,1700,0.09125470588235295,0.047,0.002,0.257,Sora,,,,
generator,comgenvid,annotated,R1_minus_R0,1700,0.0073447058823529416,0.0,0.0,0.024,Sora,,,,
generator,comgenvid,annotated,rho_mean,1700,0.05268734612976949,0.04700064845383167,0.030365011903146902,0.08112326798339686,VEO3,,,,
generator,comgenvid,annotated,rho_median,1700,0.043942092687950705,0.038400503496328994,0.022875283720592658,0.06980494161446889,VEO3,,,,
