dataset,generator,local,alpha_global,auc,ap
videofeedback,Pika,L2,0.8,0.8811888888888889,0.8915954432131614
videofeedback,Pika,L3,0.2,0.8674111111111111,0.886858444218198
videofeedback,Pika,L3,0.4,0.8776333333333333,0.8968886340662288
videofeedback,Pika,L3,0.5,0.8796555555555554,0.8976576544271453
videofeedback,Pika,L3,0.6,0.8799444444444445,0.8970607882338648
videofeedback,Pika,L3,0.8,0.8721555555555556,0.8852814616089667
videofeedback,Pika,P0,0.2,0.8925666666666667,0.9084244903444118
videofeedback,Pika,P0,0.4,0.8983444444444445,0.9129968649428768
videofeedback,Pika,P0,0.5,0.8972222222222223,0.9111488641448362
videofeedback,Pika,P0,0.6,0.8943555555555556,0.907343700695144
videofeedback,Pika,P0,0.8,0.8803555555555557,0.8898543509073027
videofeedback,SoRA-Clip,L0,0.2,0.7637444444444444,0.7623022720787352
videofeedback,SoRA-Clip,L0,0.4,0.7891111111111111,0.7895477207258081
videofeedback,SoRA-Clip,L0,0.5,0.8004333333333333,0.803345922793786
videofeedback,SoRA-Clip,L0,0.6,0.8085222222222221,0.8133423780061814
videofeedback,SoRA-Clip,L0,0.8,0.8200333333333334,0.8229618319313745
videofeedback,SoRA-Clip,L1,0.2,0.8163388888888888,0.8186229639096576
videofeedback,SoRA-Clip,L1,0.4,0.8163055555555555,0.8185112649090698
videofeedback,SoRA-Clip,L1,0.5,0.8163055555555555,0.8185112649090698
videofeedback,SoRA-Clip,L1,0.6,0.8163055555555555,0.8185112649090698
videofeedback,SoRA-Clip,L1,0.8,0.8162944444444444,0.8184778908756958
videofeedback,SoRA-Clip,L2,0.2,0.7246,0.7157063135191879
videofeedback,SoRA-Clip,L2,0.4,0.7558555555555556,0.7505523844923351
videofeedback,SoRA-Clip,L2,0.5,0.7706777777777779,0.7701293579306179
videofeedback,SoRA-Clip,L2,0.6,0.7845777777777779,0.7857632063088063
videofeedback,SoRA-Clip,L2,0.8,0.8085222222222221,0.8111032160119355
videofeedback,SoRA-Clip,L3,0.2,0.7618,0.7612603498087994
videofeedback,SoRA-Clip,L3,0.4,0.7884,0.7889005516751013
videofeedback,SoRA-Clip,L3,0.5,0.7995333333333332,0.8027755810917551
videofeedback,SoRA-Clip,L3,0.6,0.8087,0.8141043140721766
videofeedback,SoRA-Clip,L3,0.8,0.8197000000000001,0.8236659338007402
videofeedback,SoRA-Clip,P0,0.2,0.7670222222222223,0.7657928775557421
videofeedback,SoRA-Clip,P0,0.4,0.7921333333333335,0.7933303627357995
videofeedback,SoRA-Clip,P0,0.5,0.8025777777777778,0.8063992302216929
videofeedback,SoRA-Clip,P0,0.6,0.8109555555555557,0.8160567185419154
videofeedback,SoRA-Clip,P0,0.8,0.8208555555555557,0.823785444964696
videofeedback,Text2Video-Zero,L0,0.2,0.6432055555555556,0.6645059109067999
videofeedback,Text2Video-Zero,L0,0.4,0.692138888888889,0.7055216502031301
videofeedback,Text2Video-Zero,L0,0.5,0.7177388888888889,0.7282947987006307
videofeedback,Text2Video-Zero,L0,0.6,0.74265,0.7522324252078739
videofeedback,Text2Video-Zero,L0,0.8,0.787561111111111,0.7926098232438905
videofeedback,Text2Video-Zero,L1,0.2,0.8228722222222222,0.8193615138249354
videofeedback,Text2Video-Zero,L1,0.4,0.82285,0.8192377076955158
videofeedback,Text2Video-Zero,L1,0.5,0.82285,0.8192377076955158
videofeedback,Text2Video-Zero,L1,0.6,0.8228277777777777,0.8191728928807009
videofeedback,Text2Video-Zero,L1,0.8,0.8228277777777777,0.8191728928807009
videofeedback,Text2Video-Zero,L2,0.2,0.5188444444444444,0.5803114255537719
videofeedback,Text2Video-Zero,L2,0.4,0.5782222222222222,0.6299491333048068
videofeedback,Text2Video-Zero,L2,0.5,0.6138444444444445,0.6596201460679947
videofeedback,Text2Video-Zero,L2,0.6,0.6514555555555556,0.6908000755043086
videofeedback,Text2Video-Zero,L2,0.8,0.7347555555555555,0.7585261534401597
videofeedback,Text2Video-Zero,L3,0.2,0.6320111111111111,0.6401119657217343
videofeedback,Text2Video-Zero,L3,0.4,0.6842555555555556,0.6857617315300102
videofeedback,Text2Video-Zero,L3,0.5,0.7107555555555556,0.71304729022477
videofeedback,Text2Video-Zero,L3,0.6,0.7346111111111111,0.7388730324073589
videofeedback,Text2Video-Zero,L3,0.8,0.7824777777777778,0.7867987549811564
videofeedback,Text2Video-Zero,P0,0.2,0.6489722222222222,0.6694807836778138
videofeedback,Text2Video-Zero,P0,0.4,0.6998833333333333,0.7125330465950854
videofeedback,Text2Video-Zero,P0,0.5,0.7248611111111111,0.7351647404128748
videofeedback,Text2Video-Zero,P0,0.6,0.7489500000000001,0.7577446861883474
videofeedback,Text2Video-Zero,P0,0.8,0.7915611111111112,0.7961116154130841
videofeedback,VideoCrafter2,L0,0.2,0.8694555555555555,0.8685904874999573
videofeedback,VideoCrafter2,L0,0.4,0.9043222222222222,0.9031967249153071
videofeedback,VideoCrafter2,L0,0.5,0.9168,0.9168614833361486
videofeedback,VideoCrafter2,L0,0.6,0.9279111111111111,0.9293948351896232
videofeedback,VideoCrafter2,L0,0.8,0.9446777777777777,0.9473293419189568
videofeedback,VideoCrafter2,L1,0.2,0.9434,0.9481180901709578
videofeedback,VideoCrafter2,L1,0.4,0.9436111111111111,0.9483936617643507
videofeedback,VideoCrafter2,L1,0.5,0.9436666666666667,0.9484606093482554
videofeedback,VideoCrafter2,L1,0.6,0.9437,0.9484998137099783
videofeedback,VideoCrafter2,L1,0.8,0.9437555555555556,0.9485629138354305
videofeedback,VideoCrafter2,L2,0.2,0.8212222222222221,0.8285344136017677
videofeedback,VideoCrafter2,L2,0.4,0.8644222222222222,0.870278143864596
videofeedback,VideoCrafter2,L2,0.5,0.8836333333333333,0.8903300970776229
videofeedback,VideoCrafter2,L2,0.6,0.900811111111111,0.9083979148030614
videofeedback,VideoCrafter2,L2,0.8,0.9319444444444445,0.9381060113953215
videofeedback,VideoCrafter2,L3,0.2,0.8620111111111111,0.8711559733946523
videofeedback,VideoCrafter2,L3,0.4,0.8991666666666667,0.9054789810630023
videofeedback,VideoCrafter2,L3,0.5,0.9129777777777778,0.9195368057174442
videofeedback,VideoCrafter2,L3,0.6,0.9237555555555556,0.9304111663404843
videofeedback,VideoCrafter2,L3,0.8,0.941411111111111,0.9470455729960787
videofeedback,VideoCrafter2,P0,0.2,0.8735777777777778,0.8725139702138239
videofeedback,VideoCrafter2,P0,0.4,0.9078222222222223,0.9067195905103397
videofeedback,VideoCrafter2,P0,0.5,0.9200999999999999,0.920494341122762
videofeedback,VideoCrafter2,P0,0.6,0.9303222222222223,0.9321252168692844
videofeedback,VideoCrafter2,P0,0.8,0.9453999999999999,0.9479727246755877
videofeedback,ZeroScope-576w,L0,0.2,0.8778111111111111,0.875866514580387
videofeedback,ZeroScope-576w,L0,0.4,0.8782666666666668,0.8816986396500894
videofeedback,ZeroScope-576w,L0,0.5,0.8757222222222223,0.8818424008723064
videofeedback,ZeroScope-576w,L0,0.6,0.8707777777777778,0.8792007723126447
videofeedback,ZeroScope-576w,L0,0.8,0.851188888888889,0.8648734520669838
videofeedback,ZeroScope-576w,L1,0.2,0.7993000000000001,0.8161970848232889
videofeedback,ZeroScope-576w,L1,0.4,0.8001111111111111,0.8273086426127887
videofeedback,ZeroScope-576w,L1,0.5,0.8005555555555556,0.8285698743743218
videofeedback,ZeroScope-576w,L1,0.6,0.800988888888889,0.8293626005213454
