dataset,beta,mode,source_model,n_real,n_fake,n_total,auc,ap
videofeedback,0.15,patch_only,ModelScope,4080.0,4080.0,8160.0,0.8417520304690504,0.846424255911372
videofeedback,0.15,patch_only,Pika,4080.0,4080.0,8160.0,0.8632079008073817,0.8854932265315606
videofeedback,0.15,patch_only,SoRA-Clip,920.0,920.0,1840.0,0.7881001890359167,0.7809835917826786
videofeedback,0.15,patch_only,Text2Video-Zero,4080.0,4080.0,8160.0,0.671585447904652,0.6816405411803295
videofeedback,0.15,patch_only,VideoCrafter2,4080.0,4080.0,8160.0,0.8464054089773164,0.866890944367432
videofeedback,0.15,patch_only,ZeroScope-576w,2178.0,2178.0,4356.0,0.8825835574207724,0.883906863711906
videofeedback,0.15,patch_only,Average,2820.2,2820.2,5640.4,0.8230949251469071,0.8318746493830174
videofeedback,0.15,fused_alpha0p60,AnimateDiff,1398.0,1398.0,2796.0,0.8622076090716145,0.8825407202323753
videofeedback,0.15,fused_alpha0p60,Fast-SVD,1000.0,1000.0,2000.0,0.8990980000000001,0.9096658931360451
videofeedback,0.15,fused_alpha0p60,LVDM,3172.0,3172.0,6344.0,0.9042203494002534,0.9169737694470127
videofeedback,0.15,fused_alpha0p60,LaVie-base,3214.0,3214.0,6428.0,0.8310492288521477,0.8476056396411373
videofeedback,0.15,fused_alpha0p60,ModelScope,4080.0,4080.0,8160.0,0.8687560073048827,0.8762332733561594
videofeedback,0.15,fused_alpha0p60,Pika,4080.0,4080.0,8160.0,0.8800829608804306,0.8953805655484584
videofeedback,0.15,fused_alpha0p60,SoRA-Clip,920.0,920.0,1840.0,0.8280635633270321,0.8323881690714655
videofeedback,0.15,fused_alpha0p60,Text2Video-Zero,4080.0,4080.0,8160.0,0.7655254589580931,0.7827701613721467
videofeedback,0.15,fused_alpha0p60,VideoCrafter2,4080.0,4080.0,8160.0,0.9073318555363321,0.925256182860068
videofeedback,0.15,fused_alpha0p60,ZeroScope-576w,2178.0,2178.0,4356.0,0.8788888551598294,0.8851037844745661
videofeedback,0.15,fused_alpha0p60,Average,2820.2,2820.2,5640.4,0.8625223888490616,0.8753918159139434
videofeedback,0.2,patch_only,AnimateDiff,1398.0,1398.0,2796.0,0.8163432432598378,0.8227841415855052
videofeedback,0.2,patch_only,Fast-SVD,1000.0,1000.0,2000.0,0.865067,0.8899833519835411
videofeedback,0.2,patch_only,LVDM,3172.0,3172.0,6344.0,0.876209650488432,0.8860670690094368
videofeedback,0.2,patch_only,LaVie-base,3214.0,3214.0,6428.0,0.7771511654247577,0.7783191884128554
videofeedback,0.2,patch_only,ModelScope,4080.0,4080.0,8160.0,0.8464900519031142,0.8529256220825644
videofeedback,0.2,patch_only,Pika,4080.0,4080.0,8160.0,0.8534507761437908,0.8777155568323342
videofeedback,0.2,patch_only,SoRA-Clip,920.0,920.0,1840.0,0.7873003308128543,0.7803082590776748
videofeedback,0.2,patch_only,Text2Video-Zero,4080.0,4080.0,8160.0,0.6794534253652442,0.6888745052496406
videofeedback,0.2,patch_only,VideoCrafter2,4080.0,4080.0,8160.0,0.8429034205594002,0.8649029173508189
videofeedback,0.2,patch_only,ZeroScope-576w,2178.0,2178.0,4356.0,0.8852103133345308,0.8881835203757379
videofeedback,0.2,patch_only,Average,2820.2,2820.2,5640.4,0.8229579377291962,0.8330064131960109
videofeedback,0.2,fused_alpha0p60,AnimateDiff,1398.0,1398.0,2796.0,0.8595612780162136,0.8816207379025427
videofeedback,0.2,fused_alpha0p60,Fast-SVD,1000.0,1000.0,2000.0,0.8962380000000001,0.9071185192654235
videofeedback,0.2,fused_alpha0p60,LVDM,3172.0,3172.0,6344.0,0.9078327030813439,0.9205681105171173
videofeedback,0.2,fused_alpha0p60,LaVie-base,3214.0,3214.0,6428.0,0.8292478380018347,0.8469863270820127
videofeedback,0.2,fused_alpha0p60,ModelScope,4080.0,4080.0,8160.0,0.87124897875817,0.8790971730518304
videofeedback,0.2,fused_alpha0p60,Pika,4080.0,4080.0,8160.0,0.8735456314878893,0.8903363808971523
videofeedback,0.2,fused_alpha0p60,SoRA-Clip,920.0,920.0,1840.0,0.8271975425330813,0.831781985274033
videofeedback,0.2,fused_alpha0p60,Text2Video-Zero,4080.0,4080.0,8160.0,0.7701608756247598,0.787156563571434
videofeedback,0.2,fused_alpha0p60,VideoCrafter2,4080.0,4080.0,8160.0,0.9047392228950404,0.9237227871959006
videofeedback,0.2,fused_alpha0p60,ZeroScope-576w,2178.0,2178.0,4356.0,0.8802787032188485,0.8868240119785912
videofeedback,0.2,fused_alpha0p60,Average,2820.2,2820.2,5640.4,0.8620050773617182,0.8755212596736038
videofeedback,0.25,patch_only,AnimateDiff,1398.0,1398.0,2796.0,0.8124423097783263,0.8222653097569125
videofeedback,0.25,patch_only,Fast-SVD,1000.0,1000.0,2000.0,0.8608110000000001,0.8855421088330037
videofeedback,0.25,patch_only,LVDM,3172.0,3172.0,6344.0,0.8821085228727404,0.8932878700192869
videofeedback,0.25,patch_only,LaVie-base,3214.0,3214.0,6428.0,0.7744667464875394,0.7773696003701271
videofeedback,0.25,patch_only,ModelScope,4080.0,4080.0,8160.0,0.8508975514225299,0.8589980923290611
videofeedback,0.25,patch_only,Pika,4080.0,4080.0,8160.0,0.8431700247500961,0.8691081446606478
videofeedback,0.25,patch_only,SoRA-Clip,920.0,920.0,1840.0,0.7858140359168242,0.7792553553898496
videofeedback,0.25,patch_only,Text2Video-Zero,4080.0,4080.0,8160.0,0.6871803813437138,0.6959296716463383
videofeedback,0.25,patch_only,VideoCrafter2,4080.0,4080.0,8160.0,0.8388570201364859,0.8621309012699685
videofeedback,0.25,patch_only,ZeroScope-576w,2178.0,2178.0,4356.0,0.8875335077125711,0.8919743377548843
videofeedback,0.25,patch_only,Average,2820.2,2820.2,5640.4,0.8223281100420827,0.833586139203008
videofeedback,0.25,fused_alpha0p60,AnimateDiff,1398.0,1398.0,2796.0,0.856564968143741,0.8803238905560562
