dataset,variant,window_frames,role,group,nominal_real_fpr,threshold,threshold_n,n,count,rate,ci95_low,ci95_high,reference_real_fpr
videofeedback,local_d2_target_mean_source_whitening,16,fake,Pika,0.001,0.03179366866866867,2000,132,32,0.24242424242424243,0.17727462637976993,0.3221418213649679,0.001
videofeedback,local_d2_target_mean_source_whitening,16,fake,SoRA-Clip,0.001,0.03179366866866867,2000,290,78,0.2689655172413793,0.22119590187945182,0.32277586936822444,0.001
videofeedback,local_d2_target_mean_source_whitening,16,fake,Text2Video-Zero,0.001,0.03179366866866867,2000,296,47,0.15878378378378377,0.12155749233734885,0.20475314931145505,0.001
videofeedback,local_d2_target_mean_source_whitening,16,fake,VideoCrafter2,0.001,0.03179366866866867,2000,232,126,0.5431034482758621,0.4788222162132089,0.6059805156728995,0.001
videofeedback,local_d2_target_mean_source_whitening,16,fake,ZeroScope-576w,0.001,0.03179366866866867,2000,276,42,0.15217391304347827,0.11459476107140423,0.19930246913485242,0.001
videofeedback,local_d2_target_mean_source_whitening,16,real,all_real,0.01,0.06072960460460461,2000,296,37,0.125,0.0920637438955253,0.1675449810848434,0.01
videofeedback,local_d2_target_mean_source_whitening,16,real,DiDeMo,0.01,0.06072960460460461,2000,148,17,0.11486486486486487,0.07296423932435536,0.17625266832785694,0.01
videofeedback,local_d2_target_mean_source_whitening,16,real,Panda70M,0.01,0.06072960460460461,2000,148,20,0.13513513513513514,0.0892114857935287,0.19952032145593554,0.01
videofeedback,local_d2_target_mean_source_whitening,16,fake,AnimateDiff,0.01,0.06072960460460461,2000,218,107,0.4908256880733945,0.4251998545419075,0.556769250686376,0.01
videofeedback,local_d2_target_mean_source_whitening,16,fake,Fast-SVD,0.01,0.06072960460460461,2000,290,217,0.7482758620689656,0.695300846249011,0.7947593398728893,0.01
videofeedback,local_d2_target_mean_source_whitening,16,fake,LVDM,0.01,0.06072960460460461,2000,276,171,0.6195652173913043,0.5610181306004371,0.674829696516162,0.01
videofeedback,local_d2_target_mean_source_whitening,16,fake,LaVie-base,0.01,0.06072960460460461,2000,258,114,0.4418604651162791,0.3825563792128339,0.5028704736044518,0.01
videofeedback,local_d2_target_mean_source_whitening,16,fake,ModelScope,0.01,0.06072960460460461,2000,246,107,0.4349593495934959,0.3744788750886059,0.49743990031781815,0.01
videofeedback,local_d2_target_mean_source_whitening,16,fake,Pika,0.01,0.06072960460460461,2000,132,61,0.4621212121212121,0.3793453862161912,0.5470393855109762,0.01
videofeedback,local_d2_target_mean_source_whitening,16,fake,SoRA-Clip,0.01,0.06072960460460461,2000,290,120,0.41379310344827586,0.35859583326009953,0.47124437989201845,0.01
videofeedback,local_d2_target_mean_source_whitening,16,fake,Text2Video-Zero,0.01,0.06072960460460461,2000,296,98,0.3310810810810811,0.2799345176709602,0.3865558989868636,0.01
videofeedback,local_d2_target_mean_source_whitening,16,fake,VideoCrafter2,0.01,0.06072960460460461,2000,232,166,0.7155172413793104,0.6543193416229894,0.7696943178075527,0.01
videofeedback,local_d2_target_mean_source_whitening,16,fake,ZeroScope-576w,0.01,0.06072960460460461,2000,276,92,0.3333333333333333,0.28034247697767795,0.39089994582948656,0.01
videofeedback,local_d2_target_mean_source_whitening_only,16,real,all_real,0.001,0.0035035035035035035,2000,296,19,0.06418918918918919,0.04147500346702777,0.09807027151015746,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,real,DiDeMo,0.001,0.0035035035035035035,2000,148,4,0.02702702702702703,0.010559385113516857,0.06742629095060353,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,real,Panda70M,0.001,0.0035035035035035035,2000,148,15,0.10135135135135136,0.0623863995307363,0.16048724172330803,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,AnimateDiff,0.001,0.0035035035035035035,2000,218,74,0.3394495412844037,0.2798563046798299,0.40460303681513243,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,Fast-SVD,0.001,0.0035035035035035035,2000,290,113,0.3896551724137931,0.33531950961495216,0.44687596321975886,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,LVDM,0.001,0.0035035035035035035,2000,276,145,0.5253623188405797,0.4665068281272688,0.5835214988368583,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,LaVie-base,0.001,0.0035035035035035035,2000,258,71,0.2751937984496124,0.22429621470863703,0.33268761618486786,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,ModelScope,0.001,0.0035035035035035035,2000,246,106,0.43089430894308944,0.3705435130852086,0.49337018578411695,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,Pika,0.001,0.0035035035035035035,2000,132,49,0.3712121212121212,0.2935278152286062,0.4561804086437627,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,SoRA-Clip,0.001,0.0035035035035035035,2000,290,86,0.296551724137931,0.24692123952650563,0.35150166351249285,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,Text2Video-Zero,0.001,0.0035035035035035035,2000,296,56,0.1891891891891892,0.14866143407818425,0.23768093257221148,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,VideoCrafter2,0.001,0.0035035035035035035,2000,232,74,0.31896551724137934,0.26235800424317757,0.38147052183516716,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,ZeroScope-576w,0.001,0.0035035035035035035,2000,276,133,0.48188405797101447,0.4235889633105077,0.5406765174294014,0.001
videofeedback,local_d2_target_mean_source_whitening_only,16,real,all_real,0.01,0.012012012012012012,2000,296,38,0.12837837837837837,0.09497853643853232,0.17130038020867988,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,real,DiDeMo,0.01,0.012012012012012012,2000,148,9,0.060810810810810814,0.03231935672911554,0.1115244853304248,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,real,Panda70M,0.01,0.012012012012012012,2000,148,29,0.19594594594594594,0.1400373076345806,0.26723919840663957,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,AnimateDiff,0.01,0.012012012012012012,2000,218,110,0.5045871559633027,0.4387148617956346,0.5703005855902235,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,Fast-SVD,0.01,0.012012012012012012,2000,290,187,0.6448275862068965,0.5881831261420157,0.697685315762426,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,LVDM,0.01,0.012012012012012012,2000,276,167,0.605072463768116,0.5463383490119286,0.6609218626965981,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,LaVie-base,0.01,0.012012012012012012,2000,258,107,0.41472868217054265,0.35629197707775784,0.47566740705426125,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,ModelScope,0.01,0.012012012012012012,2000,246,131,0.532520325203252,0.4701503964910776,0.5938902158057104,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,Pika,0.01,0.012012012012012012,2000,132,78,0.5909090909090909,0.5056179912579944,0.671058556596804,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,SoRA-Clip,0.01,0.012012012012012012,2000,290,139,0.4793103448275862,0.4224600230896202,0.536701628066888,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,Text2Video-Zero,0.01,0.012012012012012012,2000,296,79,0.2668918918918919,0.2197221202572564,0.32003465473054044,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,VideoCrafter2,0.01,0.012012012012012012,2000,232,106,0.45689655172413796,0.39401948432710054,0.5211777837867911,0.0085
videofeedback,local_d2_target_mean_source_whitening_only,16,fake,ZeroScope-576w,0.01,0.012012012012012012,2000,276,179,0.6485507246376812,0.5905378616780086,0.7024851962547358,0.0085
videofeedback,local_d2_target_mean_source_whitening_raw,16,real,all_real,0.001,-1530.4374342752662,2000,296,18,0.060810810810810814,0.03880840722312347,0.09406667608721826,0.001
videofeedback,local_d2_target_mean_source_whitening_raw,16,real,DiDeMo,0.001,-1530.4374342752662,2000,148,4,0.02702702702702703,0.010559385113516857,0.06742629095060353,0.001
videofeedback,local_d2_target_mean_source_whitening_raw,16,real,Panda70M,0.001,-1530.4374342752662,2000,148,14,0.0945945945945946,0.057185755394348226,0.15251625266061208,0.001
videofeedback,local_d2_target_mean_source_whitening_raw,16,fake,AnimateDiff,0.001,-1530.4374342752662,2000,218,65,0.2981651376146789,0.24136208922026825,0.3619582258019701,0.001
videofeedback,local_d2_target_mean_source_whitening_raw,16,fake,Fast-SVD,0.001,-1530.4374342752662,2000,290,116,0.4,0.345277993783787,0.45733665347266994,0.001
videofeedback,local_d2_target_mean_source_whitening_raw,16,fake,LVDM,0.001,-1530.4374342752662,2000,276,130,0.47101449275362317,0.4129278368333437,0.5298969323505109,0.001
videofeedback,local_d2_target_mean_source_whitening_raw,16,fake,LaVie-base,0.001,-1530.4374342752662,2000,258,58,0.2248062015503876,0.17811900101690034,0.27956810231825224,0.001
